                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                   4.88,                  1.827,                 1.5426,                0.45018,                 0.3027,                0.31795,                0.10919,                 6.3925,                 2.0516,                 1.7979,              0.0006932,              0.0006932,              0.0006932
                     35,                 4.6947,                 1.7983,                 1.5393,                0.48587,                0.34226,                0.35468,                0.13137,                  6.421,                 1.9511,                 1.7489,              0.0006536,              0.0006536,              0.0006536
                     36,                 4.6024,                 1.7555,                 1.5529,                0.44645,                0.32432,                 0.3199,                0.11075,                 6.7039,                 2.0262,                 1.8114,               0.000614,               0.000614,               0.000614
                     37,                 4.4692,                  1.689,                 1.4861,                0.44568,                0.34054,                0.32729,                0.11052,                 6.5703,                  2.023,                 1.8001,              0.0005744,              0.0005744,              0.0005744
                     38,                 4.4423,                 1.7226,                 1.5036,                0.42674,                0.35135,                0.32274,                0.12428,                 6.2165,                 1.9695,                 1.7663,              0.0005348,              0.0005348,              0.0005348
                     39,                 4.2073,                 1.6443,                  1.477,                0.41804,                0.37297,                0.31435,                0.11088,                 6.8369,                 1.9799,                 1.8347,              0.0004952,              0.0004952,              0.0004952
                     40,                 3.7643,                 1.6513,                  1.555,                0.41159,                0.40458,                0.35485,                0.13413,                 6.4378,                 1.9297,                 1.8012,              0.0004556,              0.0004556,              0.0004556
                     41,                 3.5694,                    1.6,                  1.529,                0.47419,                0.35135,                0.35616,                0.13108,                 6.3064,                 1.9515,                 1.7786,               0.000416,               0.000416,               0.000416
                     42,                 3.4805,                 1.5463,                 1.5133,                0.48719,                0.35676,                0.33884,                0.12652,                 6.4333,                 1.9253,                 1.7936,              0.0003764,              0.0003764,              0.0003764
                     43,                 3.5009,                 1.5333,                 1.5194,                0.48101,                0.36216,                0.35118,                0.12919,                 6.2619,                 1.8894,                 1.7708,              0.0003368,              0.0003368,              0.0003368
                     44,                 3.2818,                 1.4794,                 1.4984,                0.50866,                0.36757,                 0.3533,                 0.1305,                 6.4618,                 1.9119,                 1.7928,              0.0002972,              0.0002972,              0.0002972
                     45,                 3.3646,                 1.4737,                 1.5148,                0.51154,                0.41081,                0.39113,                0.13446,                 6.3369,                 1.8325,                 1.8043,              0.0002576,              0.0002576,              0.0002576
                     46,                 3.1706,                 1.4224,                 1.4618,                0.57064,                0.37838,                0.38437,                0.13583,                 6.1682,                 1.8209,                  1.789,               0.000218,               0.000218,               0.000218
                     47,                 3.1443,                 1.3965,                 1.4836,                0.50242,                0.38378,                 0.3586,                0.12911,                 6.3323,                 1.8395,                 1.7956,              0.0001784,              0.0001784,              0.0001784
                     48,                  3.054,                 1.3641,                  1.447,                 0.5513,                0.40541,                0.39757,                0.13637,                 6.4945,                 1.8421,                 1.8253,              0.0001388,              0.0001388,              0.0001388
                     49,                  2.956,                 1.3416,                 1.4347,                0.54888,                0.37838,                0.37956,                0.13769,                 6.3103,                 1.8037,                 1.7909,               9.92e-05,               9.92e-05,               9.92e-05
