                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  7.587,                 2.3196,                 1.7255,                0.28126,                0.22162,                0.15568,                0.05104,                  8.692,                  2.503,                 1.8832,              0.0006932,              0.0006932,              0.0006932
                     35,                 7.3167,                 2.2507,                 1.7266,                0.33797,                0.20146,                0.18549,                0.05896,                 8.9978,                 2.6181,                 1.9416,              0.0006536,              0.0006536,              0.0006536
                     36,                 7.1444,                 2.2925,                 1.7296,                0.35147,                0.18378,                0.15509,                0.04654,                 9.2689,                 2.8154,                 1.8876,               0.000614,               0.000614,               0.000614
                     37,                 6.7207,                 2.1772,                 1.6655,                0.27588,                0.22036,                   0.16,                 0.0498,                 8.7038,                 2.5625,                 1.9247,              0.0005744,              0.0005744,              0.0005744
                     38,                 6.8005,                 2.2058,                 1.6899,                0.29075,                0.25405,                0.18996,                0.06482,                 8.1401,                 2.4128,                  1.875,              0.0005348,              0.0005348,              0.0005348
                     39,                 6.6549,                 2.1545,                 1.6759,                0.34567,                0.21131,                0.20604,                0.07196,                  8.348,                 2.3908,                 1.8516,              0.0004952,              0.0004952,              0.0004952
                     40,                 5.7518,                 2.1986,                 1.7205,                0.34179,                0.25405,                0.21368,                0.07433,                 8.1106,                 2.4874,                 1.8416,              0.0004556,              0.0004556,              0.0004556
                     41,                 5.5886,                 2.1118,                 1.7065,                0.36066,                0.21081,                0.22278,                0.07851,                  7.977,                 2.3937,                 1.9284,               0.000416,               0.000416,               0.000416
                     42,                 5.5028,                 2.0905,                 1.7337,                0.33191,                0.27568,                0.22809,                 0.0766,                 8.4689,                 2.3887,                 1.8766,              0.0003764,              0.0003764,              0.0003764
                     43,                 5.4451,                 2.0751,                 1.7257,                0.33972,                0.23784,                0.21758,                0.06969,                 8.1715,                 2.4389,                 1.8726,              0.0003368,              0.0003368,              0.0003368
                     44,                 5.2298,                 1.9884,                 1.6897,                0.32085,                0.27568,                0.22678,                 0.0748,                 7.9812,                 2.3636,                 1.8783,              0.0002972,              0.0002972,              0.0002972
                     45,                 5.2974,                 2.0049,                 1.7177,                0.40938,                0.24324,                0.22424,                0.07359,                 8.0297,                 2.3248,                 1.8834,              0.0002576,              0.0002576,              0.0002576
                     46,                 5.0489,                 1.9623,                 1.7016,                0.51796,                0.22162,                0.25821,                0.08012,                 7.6977,                 2.3584,                 1.9034,               0.000218,               0.000218,               0.000218
                     47,                 4.9933,                 1.9325,                 1.7039,                0.44655,                0.26486,                 0.2518,                0.08384,                 7.8319,                 2.2675,                 1.8816,              0.0001784,              0.0001784,              0.0001784
                     48,                 4.9236,                 1.9209,                 1.6484,                0.42244,                0.27282,                0.25961,                0.08271,                 7.6971,                 2.2908,                 1.8664,              0.0001388,              0.0001388,              0.0001388
                     49,                 4.7957,                 1.8995,                 1.6359,                0.49328,                0.25946,                0.27104,                0.09274,                 7.4847,                 2.2267,                 1.8693,               9.92e-05,               9.92e-05,               9.92e-05
