                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 4.8841,                 1.8714,                 1.5514,                0.50971,                0.27536,                0.32363,                0.11849,                 6.3795,                 2.0357,                 1.7976,              0.0006932,              0.0006932,              0.0006932
                     35,                 4.6666,                 1.7903,                  1.543,                0.42762,                0.32432,                0.33056,                0.12653,                 6.7247,                 2.0107,                 1.7819,              0.0006536,              0.0006536,              0.0006536
                     36,                 4.6107,                 1.7719,                 1.5597,                0.60026,                0.27568,                0.30936,                 0.1038,                 6.5374,                 2.0898,                 1.8303,               0.000614,               0.000614,               0.000614
                     37,                 4.4295,                 1.7107,                 1.5048,                0.41112,                0.31892,                0.27144,                0.09693,                 6.7793,                 2.1534,                 1.7839,              0.0005744,              0.0005744,              0.0005744
                     38,                  4.368,                 1.7234,                 1.5199,                0.59969,                0.29963,                0.35092,                0.12936,                 6.4981,                 1.9885,                 1.7724,              0.0005348,              0.0005348,              0.0005348
                     39,                 4.2957,                   1.67,                  1.516,                0.48075,                0.34054,                0.32077,                0.11718,                 6.5109,                 1.9793,                 1.8038,              0.0004952,              0.0004952,              0.0004952
                     40,                 3.9372,                 1.6822,                 1.5841,                0.42848,                0.34054,                0.30643,                 0.1203,                 6.3704,                 1.9921,                 1.7989,              0.0004556,              0.0004556,              0.0004556
                     41,                 3.6349,                 1.5901,                 1.5489,                0.55256,                0.32432,                0.36744,                0.13867,                  6.412,                 1.9425,                 1.7876,               0.000416,               0.000416,               0.000416
                     42,                 3.4933,                  1.582,                  1.536,                0.50698,                0.35135,                0.33453,                0.12484,                 6.4933,                 1.9777,                 1.8459,              0.0003764,              0.0003764,              0.0003764
                     43,                  3.359,                 1.5293,                 1.5314,                0.59024,                0.31351,                0.35492,                0.13168,                 6.3535,                 1.8681,                 1.7988,              0.0003368,              0.0003368,              0.0003368
                     44,                 3.2585,                 1.4779,                 1.5076,                0.53539,                0.32973,                0.35126,                0.13182,                  6.445,                 1.8923,                 1.8122,              0.0002972,              0.0002972,              0.0002972
                     45,                  3.316,                 1.4475,                  1.505,                0.58479,                 0.3027,                0.35661,                 0.1364,                 6.4283,                 1.8899,                 1.8012,              0.0002576,              0.0002576,              0.0002576
                     46,                 3.1184,                 1.4086,                 1.4834,                0.51911,                0.36216,                0.37331,                0.14449,                 6.5282,                 1.9328,                 1.7707,               0.000218,               0.000218,               0.000218
                     47,                 3.1068,                 1.3724,                 1.4774,                0.61202,                0.32973,                0.36364,                0.13779,                 6.5021,                 1.7893,                 1.7779,              0.0001784,              0.0001784,              0.0001784
                     48,                 3.0159,                 1.3538,                 1.4457,                0.52681,                0.36216,                0.37296,                0.14495,                 6.5092,                 1.8411,                   1.79,              0.0001388,              0.0001388,              0.0001388
                     49,                 2.9163,                 1.3252,                 1.4295,                0.55667,                0.35135,                0.36557,                0.14087,                 6.6034,                  1.832,                   1.84,               9.92e-05,               9.92e-05,               9.92e-05
