                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 5.1955,                 1.9078,                  1.608,                0.44489,                0.32973,                0.33455,                0.11988,                 6.4804,                 2.0606,                 1.8019,              0.0006932,              0.0006932,              0.0006932
                     35,                 4.8896,                 1.8315,                 1.5879,                0.55119,                0.28108,                0.31954,                0.12352,                 6.7708,                 2.0764,                 1.8215,              0.0006536,              0.0006536,              0.0006536
                     36,                 4.7557,                 1.7862,                 1.6195,                0.51813,                0.34054,                0.34361,                0.12366,                 6.0602,                 2.0164,                 1.7953,               0.000614,               0.000614,               0.000614
                     37,                 4.4381,                 1.7206,                 1.5271,                0.55188,                0.35676,                0.35144,                0.12189,                 6.1795,                 2.0448,                 1.7894,              0.0005744,              0.0005744,              0.0005744
                     38,                 4.5662,                  1.755,                 1.5676,                0.58319,                0.37297,                0.38197,                0.13385,                 6.2515,                  2.015,                 1.8051,              0.0005348,              0.0005348,              0.0005348
                     39,                 4.4681,                 1.6667,                 1.5612,                0.53923,                0.38378,                0.38027,                0.13481,                 6.4582,                 2.0086,                 1.8347,              0.0004952,              0.0004952,              0.0004952
                     40,                 3.8157,                 1.6689,                 1.6202,                0.44282,                0.37297,                0.32378,                0.11373,                 6.2957,                 2.0878,                  1.895,              0.0004556,              0.0004556,              0.0004556
                     41,                 3.7458,                 1.6479,                 1.6159,                0.50427,                0.36757,                0.36615,                0.12595,                 6.1452,                 1.9398,                 1.8705,               0.000416,               0.000416,               0.000416
                     42,                 3.6026,                 1.6021,                 1.5947,                0.61041,                0.37297,                 0.3822,                0.13359,                 6.1245,                  1.985,                 1.8606,              0.0003764,              0.0003764,              0.0003764
                     43,                 3.5591,                 1.5915,                  1.595,                 0.5921,                0.35676,                0.39328,                 0.1374,                 6.1385,                  1.934,                 1.8565,              0.0003368,              0.0003368,              0.0003368
                     44,                 3.4855,                 1.5314,                 1.5732,                0.53322,                0.38285,                0.38802,                0.14986,                 6.1375,                 1.8803,                 1.8374,              0.0002972,              0.0002972,              0.0002972
                     45,                 3.5227,                 1.5264,                 1.5793,                0.63015,                0.37838,                0.40403,                0.14637,                 6.1573,                 1.9475,                 1.8388,              0.0002576,              0.0002576,              0.0002576
                     46,                 3.3117,                 1.4778,                 1.5589,                0.54624,                0.41646,                 0.4171,                0.14781,                 6.2375,                 1.8967,                 1.8256,               0.000218,               0.000218,               0.000218
                     47,                 3.2423,                  1.444,                  1.565,                0.59521,                0.39743,                0.42827,                0.14576,                 5.9964,                  1.874,                 1.8349,              0.0001784,              0.0001784,              0.0001784
                     48,                 3.1877,                 1.4195,                  1.535,                0.59871,                0.39518,                0.43393,                0.16475,                  6.156,                 1.8287,                 1.8222,              0.0001388,              0.0001388,              0.0001388
                     49,                 3.1619,                 1.3782,                  1.515,                0.52397,                0.41622,                0.42363,                0.15284,                 6.4466,                 1.8698,                 1.8493,               9.92e-05,               9.92e-05,               9.92e-05
