                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 4.6365,                 1.7877,                 1.5326,                0.54406,                0.30962,                 0.3485,                0.12372,                 6.3432,                 1.9693,                 1.7851,              0.0006932,              0.0006932,              0.0006932
                     35,                 4.4707,                 1.7353,                 1.5181,                0.59809,                0.34595,                0.37316,                0.13976,                 6.4053,                 1.9641,                  1.797,              0.0006536,              0.0006536,              0.0006536
                     36,                 4.4315,                 1.7143,                 1.5514,                0.43907,                0.37297,                0.31859,                0.11752,                 6.4592,                 2.0458,                 1.8369,               0.000614,               0.000614,               0.000614
                     37,                 4.1695,                 1.6168,                 1.4693,                0.44234,                0.40541,                0.38437,                 0.1305,                 6.1945,                 1.9219,                 1.8007,              0.0005744,              0.0005744,              0.0005744
                     38,                  4.263,                 1.6482,                  1.502,                 0.4584,                0.38378,                0.37679,                0.14252,                  6.037,                 1.9073,                 1.8074,              0.0005348,              0.0005348,              0.0005348
                     39,                 4.1624,                 1.5951,                 1.5063,                0.58084,                0.38203,                0.38187,                0.14238,                 6.1977,                 1.9127,                 1.7958,              0.0004952,              0.0004952,              0.0004952
                     40,                 3.6701,                 1.5904,                 1.5749,                0.49258,                    0.4,                0.38456,                0.13099,                 6.2085,                 1.9833,                 1.8118,              0.0004556,              0.0004556,              0.0004556
                     41,                 3.4549,                 1.5462,                  1.547,                0.55494,                0.38919,                0.41021,                0.13871,                 5.9711,                 1.9044,                 1.8316,               0.000416,               0.000416,               0.000416
                     42,                 3.3961,                 1.5043,                  1.525,                0.61112,                0.37838,                0.38375,                 0.1397,                 5.9728,                 1.8694,                 1.8165,              0.0003764,              0.0003764,              0.0003764
                     43,                 3.3311,                 1.4655,                 1.5188,                0.49262,                0.38919,                0.37485,                 0.1409,                 6.3127,                 1.8546,                 1.7904,              0.0003368,              0.0003368,              0.0003368
                     44,                 3.1805,                 1.4134,                 1.4962,                0.46885,                0.42162,                0.36829,                0.14095,                 6.3045,                 1.8997,                  1.828,              0.0002972,              0.0002972,              0.0002972
                     45,                 3.2784,                 1.4112,                  1.509,                0.58463,                0.42703,                0.41746,                0.15647,                 6.0604,                  1.851,                 1.8316,              0.0002576,              0.0002576,              0.0002576
                     46,                 3.0561,                 1.3597,                 1.4778,                0.49812,                0.47749,                0.40697,                0.14946,                 6.1425,                 1.8338,                 1.8025,               0.000218,               0.000218,               0.000218
                     47,                 3.0616,                 1.3543,                 1.4918,                0.57518,                0.43243,                0.41862,                0.14628,                 6.0876,                 1.8143,                 1.8203,              0.0001784,              0.0001784,              0.0001784
                     48,                 2.9628,                 1.3402,                 1.4581,                0.65161,                    0.4,                0.40943,                0.15092,                 6.1193,                 1.8247,                 1.8115,              0.0001388,              0.0001388,              0.0001388
                     49,                 2.8747,                 1.3086,                 1.4398,                0.58901,                0.41622,                0.41977,                0.14949,                 6.0908,                 1.8125,                 1.8078,               9.92e-05,               9.92e-05,               9.92e-05
